0,title,0,夢に見る武人
0,line,0,ルカ・ミルダが、しばしば
0,line,1,夢に見る武人、その名は{blue}アスラ{white}。
0,line,2,勇猛果敢、一騎当千と評される
0,line,3,その猛将は、敵将{blue}ヒュプノス{white}を倒し
0,line,4,敵の居城「天空城」へ
0,line,5,総攻撃をかけた…。
0,line,6,いつもの夢から覚めたルカは
0,line,7,母の声に誘われ、{cyan}リビング{white}へ向かう
1,title,0,儀式の朝
1,line,0,ルカが両親と朝食を取っていると
1,line,1,同級生の{blue}エディ{white}と{blue}ニーノ{white}から
1,line,2,誘いの声が、かかった。
1,line,3,　
1,line,4,今日は、レグヌムの街から南にある
1,line,5,{cyan}フルフィの森{white}で
1,line,6,ルカのために大事な儀式が
1,line,7,行われるのだ
2,title,0,奇妙な青年たち
2,line,0,レグヌムの街とフルフィの森で
2,line,1,奇妙な青年ふたりと出会ったルカ。
2,line,2,儀式の最中、ルカは白昼夢を見る。
2,line,3,その夢の中で、アスラは絶世の美女
2,line,4,{blue}イナンナ{white}と語り合っていた。
2,line,5,ルカは見事、儀式をやり遂げたが
2,line,6,結局、{cyan}レグヌムの道具屋前の露店{white}で
2,line,7,ホットドッグを買うハメになる
3,title,0,イリアとの出会い１
3,line,0,レグヌムに戻ったルカは
3,line,1,{blue}異能者捕縛適応法{white}で
3,line,2,軍に連行される少年を見かけた。
3,line,3,露店の側で、ルカは教団兵に
3,line,4,追われる少女{blue}イリア{white}と出会う。
3,line,5,教団兵からイリアを守ろうとした
3,line,6,そのとき、ルカの眠っていた力
3,line,7,{blue}転生者の力{white}が、目を覚ます
4,title,0,イリアとの出会い２
4,line,0,そこへ、{blue}教団の大主天マティウス{white}が
4,line,1,現れる。マティウスは{blue}創世力{white}と
4,line,2,呼ばれるものを手に入れるため
4,line,3,イリアを追って来たという。
4,line,4,　
4,line,5,しかし、人目を避けるためか
4,line,6,ルカが転生者であることを認めると
4,line,7,立ち去ってしまうマティウス
5,title,0,イリアとの出会い３
5,line,0,イリアは自分も転生者で、前世は
5,line,1,アスラの恋人イナンナだと言う。
5,line,2,ルカとイリアは、マティウスよりも
5,line,3,先に、創世力を手に入れるため
5,line,4,旅に出ることを決意する。
5,line,5,ふたりは、転生者の情報を求め
5,line,6,レグヌムの西の橋を越え
5,line,7,さらに、{cyan}レグヌム峠{white}を越えた先
5,line,8,南東にある{cyan}聖都ナーオス{white}へ向かう
6,title,0,聖剣デュランダル
6,line,0,聖都ナーオスへの道中、捕らえられ
6,line,1,{cyan}転生者研究所{white}に連行されるルカと
6,line,2,イリア。そこで、{blue}スパーダ{white}と{blue}チトセ{white}
6,line,3,ふたりの転生者に出会う。
6,line,4,転生者としての適性検査を受ける
6,line,5,ルカたちだったが、その最中
6,line,6,スパーダの前世が、アスラの盟友
6,line,7,{blue}聖剣デュランダル{white}だったと判明する
7,title,0,西の戦場へ
7,line,0,ルカ、イリア、スパーダの３人は
7,line,1,王都軍幹部{blue}オズバルド{white}の指示により
7,line,2,{cyan}西の戦場{white}へ送られることになった。
7,line,3,兵士として、戦場へ向かう現実に
7,line,4,強い不安を見せるルカ。
7,line,5,　
